Business,Address,City,State,phurl,Types,Alcohol,Wifi,Score,Price,Hours,Phone,URL,Main,Frugal,Wine,Gluten-Free,Coffee,Vegetarian,Carnivore,Beer,Cocktails,Healthy,Family,Fresh,Dessert,Spicy,Late-Night,Service,Seafood,Fast
Cheeburger Cheeburger,182 Nassau St.,Princeton,NJ,http://cheeburger.com/home2/cheeBurger.jpg,"American, Burgers",No,No,0.7,10,,,cheeburger.com,,,,,,,,,,,,,,,,,,
Fruity Yogurt,166 Nassau St.,Princeton,NJ,http://oksanathefoodie.files.wordpress.com/2012/07/fruity-yoghurt.png?w=500&h=380,"Ice Cream, Dessert",No,No,0.75,6,,(609) 921-8787,,A bright and friendly atmosphere with a unique selection of desserts including froyo and bubble tea. Known for their taro flavor. Good for meetings and hangouts.,"Froyo is priced by the ounce, including any fresh toppings you choose to sprinkle on top. Bubble tea has good value. Credit cards only accepted for charges over $5.",,,,,,,,Froyo is advertised to be a healthy alternative to ice cream. Bubble tea is highly sweetened.,,Fresh fruits offered as selections for toppings on froyo. Bubble tea is not made fresh.,"A good place for dessert, enough to satisfy any sweet tooth.",,,,,
George's Roasters and Ribs,244 Nassau St.,Princeton,NJ,http://www.princetonsrestaurants.com/www.princetonsrestaurants.com/images/large/georges-roasters-princeton-367x351.jpg,"Sandwiches, Late-Night, Lunch, Wings",No,No,0.7,5,"M-S 9:00am-11:00pm, Su 12:00-8:00pm",(609) 252-0419,georgesprinceton.com,"George's is just down the block from Hoagie Haven and very similar. Owned by the same people, they also sell subs and other late-night delights. ",,,,,,,,,,,,,,,,,
Halo Pub,9 Hulfish St.,Princeton,NJ,http://3.bp.blogspot.com/-CSJpjGdG_48/TbSUX4oym1I/AAAAAAAALeA/DJo_C2TGqTo/s1600/IMG_2843.JPG,"Ice Cream, Dessert",No,No,0.7,8,,(609) 921-1710,,"Fresh made ice cream! This place is fantastic for its quantities and the vast array of flavors. The lines can get a little long, but worth the wait.",,,,,,,,,,,,A wide selection of good ice cream flavors to satisfy any craving.,,,,,
Hoagie Haven,242 Nassau St.,Princeton ,NJ,http://media-cdn.pinterest.com/upload/17592254763894955_HZEaOu1m.jpg,"Sandwiches, Late-Night, Lunch",No,No,0.8,5,M-Su 11:00am-12:00am,(609) 921-7723,hoagiehaven.com,Hoagie Haven is very popular among the Princeton students. It's a late-night hangout for people after having a few drinks. It can be a little chaotic inside. Be sure to stand to the right to place your order.,"Everything at Hoagie Haven is fairly inexpensive. You can get a half version of any sandwich for less than $5. The big sandwiches can be up to $10, but you can easily split them with a friend.",,,"Hoagie Haven has an enormous selection of sodas, energy drinks, and canned teas / coffee. At least one of these is sure to perk you up.",The omelets are great alternatives to the meat-heavy dishes for vegetarians.,,,,,,There's almost nothing here that's fresh. The only think you get is delicious hoagies,,"Get extra hot sauce, jalapenos peppers, and banana peppers on ALL the hoagies you get. Also, if you're getting the Dirty Sanchez, get the extra dirty sanchez","After you've had your drinks at Ivy or at an eating club, be sure to stop by the Haven. Order off the black menu! If you order something that appears to be too healthy, you might get a weird look from the employees.",,,
Hunan Chinese Restaurant,157 Witherspoon,Princeton,NJ,http://www.menupix.com/town_cuisine_img/HunanCCC.jpg,"Chinese, Lunch, Dinner",No,No,0.7,10,,(609) 921-6950,,,,,,,,,,,,,,,,,,,
Mehek,164 Nassaus St.,Princeton,NJ,http://images.citysearch.net/assets/imgdb/merchant/2012/7/24/0/hnvKzRlO107.jpeg,"Lunch, Dinner",No,No,0.75,15,M-Su 11:00am-10:00pm,(609) 279-9191,meheknj.com,"A pricier but authentic Indian restaurant. A nice, warm atmosphere inside, with friendly staff. Provides take-out and catering with online or phone reservation. The #naan is fresh and amazing.","Dishes are small and slightly expensive, but food is authentic and of good quality.",,,,"A variety of vegetarian dishes available, with a diverse selection and authentic taste. Try getting the #Sagwala. ",,,,,,,,Dishes can be made to different levels of spiciness. Spices used vary but generally complement the dishes.,,,,
Naked Pizza,180 Nassau St.,Princeton,NJ,http://farm8.staticflickr.com/7031/6553207307_6548cfa539_z.jpg,"Pizza, Lunch, Dinner",No,No,0.6,15,"M-Th 11:00am-10:00pm, F 11:00am-2:00am, S 9:00am-2:00am, Su 11:00am-10:00pm",(609) 771-6100,nakedpizza.biz,A chain pizza place that uses fresh / organic ingredients in their pizza. The higher quality ingredients certainly have a positive impact on the tastiness of the pizza.,,,,,,,,,,,,,,,,,
Olives,22 Witherspoon St.,Princeton,NJ,http://www.princetonsrestaurants.com/www.princetonsrestaurants.com/images/large/olives-gourmet-bakery-367x334.jpg,"Lunch, Dinner, Sandwiches, Greek",No,No,0.75,12,,(609) 921-1569,olivesprinceton.com,"Located right on Witherspoon St., Olives has a great lunch selection. They have dozens of different fresh salads as well as a row of fresh made food. Their #chickencurry is one of their more popular dishes. ",,,,,,,,,,,,,,,,,
Osteria Procaccini,4428 Rt 27 N,Kingston,NJ,http://graphics8.nytimes.com/images/2012/03/04/nyregion/04DINENJ2_SPAN/04DINENJ2_SPAN-articleLarge.jpg,"Pizza, Lunch, Dinner",No,No,0.75,20,"M closed, T-Th 11:30am-9:00pm, F-S 11:30am-10:00pm, Su 4:00pm-9:00pm",(609) 688-0007,osteriaprocaccini.com/,"A great pizza place located right off of Route 27 (Nassau St.). It's a great place to sit down and have freshly made pizza. The crusts are usually thin, but the red sauce is amazing",,,,,,,,,,,,,,,,,
Panera Bread,136 Nassau St.,Princeton,NJ,http://photos.igougo.com/images/p61254-Princeton-Panera_Bread_Co._Princeton.jpg,"Sandwiches, Coffee, Pastries, Lunch, Dinner",No,Yes,0.5,8,"M-F 9:00am-9:00pm, S-Su 10:00am-9:00pm",(609) 683-3896,,A chain lunch / sandwich shop. The location is very similar to other Panera's. ,,,,,,,,,,,,,,,,,
Pjs Pancake House,154 Nassau St.,Princeton,NJ,http://s3-media2.ak.yelpcdn.com/bphoto/fW3ZYVMuaS7obxf-f-W73g/l.jpg,"Diner, Breakfast, Lunch, Dinner",No,No,0.5,15,"M-Th 7:00am-10:00pm, F-S 7:00am-12:00am, Su 7:00am-10:00pm",(609) 924-1353,pancakes.com,A very popular restaurant for Princeton tourists. One of the only places near Princeton that actually serves a brunch. The pancakes are typically overpriced and greasy though.,,,,,,,,,,,,,,,,,
Qdoba,140 Nassau St.,Princeton,NJ,http://is0.4sqi.net/userpix/N3ZR4WAGF0ZJY3XV.jpg,"Mexican, Lunch, Dinner, Fast-Food",No,No,0.75,8,"M-Th 10:30am-11:00pm, F-S 10:30am-12:00am, S 10:30am-11:00pm",(609) 921-2031,qdoba.com,A chain Mexican food place. Not all that different from other Qdoba's. They have a nice selection of food and are pretty good about getting your order done quickly.,A good amount of food for the price. Guacamole always costs extra. Rewards system gives a free meal for every 10 entrees.,,,,,,,,,,Ingredients are generally fresh or freshly made.,,"Entrees come with a variety of choices for spicy salsa, with different levels of spiciness. Tobasco and cholula hot sauce are both provided on the side.",,,,
Small World Coffee,14 Witherspoon St.,Princeton,NJ,http://b.vimeocdn.com/ts/819/175/8191757_640.jpg,"Coffee, Pastries",No,Yes,0.8,5,"M-S 6:30am-6:00pm, Su 7:30am-5:00pm",(609) 924-4377,smallworldcoffee.com,"Popular local coffee shop in Princeton. Located right on Nassau street, it's a great place to grab a cup of coffee. ",,,,,,,,,,,,,,,,,
Starbucks,100 Nassau St.,Princeton,NJ,http://www.starbucks.com/static/images/global/logo.png,"Coffee, Pastries",No,Yes,0.65,5,M-Su 5:30am-12:30 am,(609) 279-9204,starbucks.com,One of the fancier starbucks right across the street from Princeton University. They have a clover-leaf machine to get fresh ground coffee. ,,,,,,,,,,,,,,,,,
