Sort,Icon,Parents
Main,main.png,
Food,main.png,Main
Drinks,drinks.png,Main
Lifestyle,lifestyle.png,Main
Quality,quality.png,Main
Dietary Restrictions,restrict.png,Main
Frugal,value.png,Main
Cocktails,cocktails.png,Drinks
Coffee,coffee.png,Drinks
Seafood,seafood.png,Food
Service,classy.png,Main
Vegetarian,vegetarian.png,Food
Carnivore,steak.png,Food
Wine,wine.png,Drinks
Spicy,spicy.png,Food
Beer,beer.png,Drinks
Late-Night,latenight.png,Lifestyle
Gluten-Free,gluten.png,Dietary Restrictions
Dessert,icecream.png,Food
Fresh,fresh.png,Quality
Family,family.png,Lifestyle
Healthy,healthy.png,Lifestyle
Peanut Allergy,peanuts.png,Dietary Restrictions
Shellfish Allergy,shellfish.png,Dietary Restrictions
Authentic,authentic.png,Quality
Organic,organic.png,Quality
Vegan,vegan.png,Food
Organic Coffee,ocoffee.png,"Organic, Coffee"
